version,model,checkpoint,split,overall_mae,overall_mse,active_mae,active_mse,jitter_mae,hand_mean_recall_at_0p1,hand_mean_f1_at_0p1,hand_mean_pred_gt_ratio,pelvis_base_recall_at_0p1,spine_recall_at_0p1,right_hand_recall_at_0p1,left_hand_recall_at_0p1,right_hand_pred_gt_ratio_on_active,left_hand_pred_gt_ratio_on_active,right_foot_recall_at_0p1,left_foot_recall_at_0p1,inference_ms_per_batch,params_m,flops_g,notes
iiw,TGCN_cVAE_MoE_ver1,best,scene_test,,,,,,,,,,,,,,,,,,,,
iiw_ver2,MLP_cVAE_MoE,best,scene_test,,,,,,,,,,,,,,,,,,,,
iiw_ver2,LSTM_cVAE_MoE,best,scene_test,,,,,,,,,,,,,,,,,,,,
iiw_ver2,TCN_cVAE_MoE,best,scene_test,,,,,,,,,,,,,,,,,,,,
iiw_ver2,GCN_cVAE_MoE,best,scene_test,,,,,,,,,,,,,,,,,,,,
iiw_ver2,TGCN_cVAE_TGCN,best,scene_test,,,,,,,,,,,,,,,,,,,,
iiw_ver2,TGCN_cVAE_MoE,best,scene_test,,,,,,,,,,,,,,,,,,,,
iiw_ver2,TGCN_cVAE_MoE,epoch_50,scene_test,,,,,,,,,,,,,,,,,,,,
iiw_ver3,GeometryGuided_BodyPartGraph,best,scene_test,,,,,,,,,,,,,,,,,,,,
iiw_ver3,GeometryGuided_BodyPartGraph,epoch_50,scene_test,,,,,,,,,,,,,,,,,,,,
