Epoch,Beta,Time_s,Train_Total_Loss,Train_Recon_MSE,Train_Active_SmoothL1,Train_Contact_Focal,Train_KLD_Loss,Train_Raw_KLD_Loss,Train_Gate_Balance,Val_Recon_MSE,Val_Active_SmoothL1,Val_Contact_Focal,Val_Contact_Micro_F1,Val_Contact_Macro_F1,Val_Contact_Micro_Precision,Val_Contact_Micro_Recall,Val_F1_Pelvis,Val_F1_Spine,Val_F1_Right_Hand,Val_F1_Left_Hand,Val_F1_Right_Foot,Val_F1_Left_Foot,Grad_Norm,Gate_Exp_1,Gate_Exp_2,Gate_Exp_3
1,0.00010,1317.63,0.021483,0.006053,0.004195,0.003625,1.049414,0.962846,0.256126,0.003091,0.002449,0.002122,0.835919,0.772756,0.718747,0.998735,0.897293,0.698454,0.639395,0.676999,0.870402,0.853991,0.1376,0.1351,0.7440,0.1209
2,0.00020,1322.00,0.014372,0.002797,0.002077,0.002054,0.659784,0.512416,0.313129,0.003642,0.003502,0.002357,0.835780,0.805271,0.718411,0.998989,0.931285,0.764918,0.705863,0.735060,0.889149,0.805354,0.0663,0.1016,0.7900,0.1084
3,0.00030,1322.72,0.013599,0.002169,0.001597,0.001581,0.654529,0.469859,0.362454,0.004854,0.005080,0.003082,0.816421,0.792422,0.690124,0.999298,0.915397,0.752503,0.683590,0.755037,0.858354,0.789648,inf,0.0977,0.8246,0.0778
4,0.00040,1324.33,0.013246,0.001830,0.001333,0.001333,0.650257,0.443901,0.391127,0.001907,0.002121,0.001546,0.904997,0.854612,0.828272,0.997388,0.960212,0.760164,0.750048,0.812212,0.938374,0.906663,inf,0.0917,0.8436,0.0648
5,0.00050,1323.78,0.013109,0.001621,0.001181,0.001193,0.646495,0.412049,0.410326,0.001780,0.002125,0.001424,0.913158,0.849565,0.842049,0.997384,0.933943,0.743707,0.764936,0.778946,0.947748,0.928109,inf,0.0864,0.8559,0.0576
6,0.00060,1324.63,0.012886,0.001467,0.001070,0.001096,0.644304,0.389969,0.417174,0.002253,0.002409,0.001492,0.885580,0.842327,0.795356,0.998894,0.954027,0.773152,0.760761,0.765543,0.904149,0.896333,inf,0.0843,0.8603,0.0554
7,0.00070,1324.74,0.012680,0.001356,0.000994,0.001025,0.643152,0.371418,0.418676,0.002156,0.002025,0.001467,0.888025,0.848619,0.799091,0.999234,0.944358,0.811384,0.761880,0.770094,0.894998,0.908999,inf,0.0831,0.8612,0.0557
8,0.00080,1318.97,0.012438,0.001268,0.000930,0.000970,0.642357,0.352962,0.415491,0.002006,0.001598,0.001494,0.903003,0.856697,0.823924,0.998873,0.927278,0.770094,0.780111,0.824120,0.907391,0.931188,inf,0.0835,0.8592,0.0572
9,0.00090,1293.92,0.012278,0.001217,0.000890,0.000937,0.641944,0.337788,0.411782,0.001992,0.002448,0.001545,0.898840,0.871424,0.817264,0.998506,0.959949,0.830231,0.797121,0.826756,0.931550,0.882938,inf,0.0844,0.8569,0.0587
10,0.00100,1304.09,0.012045,0.001154,0.000853,0.000898,0.641701,0.325125,0.404745,0.001661,0.002701,0.001441,0.933071,0.874104,0.878880,0.994383,0.958925,0.799074,0.761428,0.812872,0.946494,0.965829,inf,0.0842,0.8525,0.0633
11,0.00100,1308.85,0.011945,0.001107,0.000819,0.000868,0.641425,0.320800,0.406212,0.001740,0.003616,0.001826,0.941919,0.884238,0.899601,0.988414,0.957930,0.797718,0.794275,0.827598,0.961214,0.966696,inf,0.0835,0.8534,0.0631
12,0.00100,1325.51,0.011997,0.001066,0.000791,0.000843,0.641195,0.312173,0.414236,0.001837,0.002531,0.001393,0.910023,0.870616,0.836255,0.998064,0.950596,0.801557,0.795076,0.830693,0.917262,0.928513,inf,0.0832,0.8585,0.0583
13,0.00100,1325.03,0.012005,0.001040,0.000773,0.000826,0.641154,0.310753,0.418238,0.001728,0.001576,0.001402,0.920437,0.878977,0.853796,0.998361,0.956505,0.799018,0.812367,0.837928,0.937093,0.930950,inf,0.0832,0.8610,0.0558
